,times,model_predictions,errors,controller_outputs,noisy_values,true_values,T2_values
0,0.0,35.0,14.050500000000003,179.66901828429118,20.949499999999997,20.6272,20.949499999999997
1,1.0,35.0,14.050500000000003,170.854607668006,20.949499999999997,20.949499999999997,20.949499999999997
2,2.0,35.0,14.050500000000003,162.53257299278292,20.949499999999997,20.6272,20.949499999999997
3,3.0,35.0,14.050500000000003,154.67540997298215,20.949499999999997,20.949499999999997,20.949499999999997
4,4.0,35.0,14.050500000000003,147.25715072160864,20.949499999999997,20.949499999999997,20.949499999999997
5,5.0,35.0,14.050500000000003,140.25327792656716,20.949499999999997,20.949499999999997,20.949499999999997
6,6.0,35.0,14.050500000000003,133.64064382106056,20.949499999999997,21.2718,20.949499999999997
7,7.0,35.0,13.728200000000001,127.39739368032897,21.2718,21.2718,20.949499999999997
8,8.0,35.0,13.728200000000001,117.381522495269,21.2718,21.2718,20.949499999999997
9,9.0,35.0,13.405900000000003,112.01848215652767,21.594099999999997,21.594099999999997,20.949499999999997
10,10.0,35.0,13.405900000000003,102.83365195792916,21.594099999999997,21.594099999999997,20.6272
11,11.0,35.0,13.0836,98.25523037669005,21.9164,21.9164,20.949499999999997
12,12.0,35.0,13.0836,89.81118986795462,21.9164,21.9164,20.949499999999997
13,13.0,35.0,12.761300000000002,85.9321772153963,22.238699999999998,22.238699999999998,20.949499999999997
14,14.0,35.0,12.761300000000002,78.14847641739418,22.238699999999998,22.561,20.949499999999997
15,15.0,35.0,12.439,74.89291667727403,22.561,22.561,20.949499999999997
16,16.0,35.38302304620862,12.499723046208619,67.69784250237173,22.8833,22.8833,20.949499999999997
17,17.0,36.12689016740817,12.921290167408173,65.77451689252703,23.205599999999997,22.8833,20.949499999999997
18,18.0,36.82933460188241,13.301434601882413,68.57815858815947,23.5279,23.205599999999997,20.949499999999997
19,19.0,37.49266937297116,13.964769372971155,70.73216383780819,23.5279,23.5279,20.949499999999997
20,20.0,38.1190783034675,14.268878303467499,76.4201676470515,23.850199999999997,23.850199999999997,20.949499999999997
21,21.0,38.7106232327659,14.538123232765894,77.2545716820786,24.1725,24.1725,20.949499999999997
22,22.0,39.269250830858205,14.774450830858207,77.62299467474311,24.494799999999998,24.494799999999998,20.949499999999997
23,23.0,39.796799031697844,15.301999031697846,77.57332718743453,24.494799999999998,24.817099999999996,20.949499999999997
24,24.0,40.28621706201491,15.469117062014917,81.2709345480855,24.817099999999996,24.817099999999996,20.949499999999997
25,25.0,40.7396520228189,15.600252022818903,80.19891687708493,25.1394,25.461699999999997,21.2718
26,26.0,41.15909217122471,15.69739217122471,78.74118758156209,25.461699999999997,25.461699999999997,21.2718
